Rank,Team,QS,HP,BP,TP
1,250,12,150,150,114
2,3015,12,138,90,231
3,1450,10,148,80,141
4,4203,10,114,100,98
5,3003,10,114,90,139
6,3173,10,58,40,248
7,145,8,180,140,129
8,3838,8,164,80,133
9,191,8,126,60,257
10,1507,8,126,60,161
11,1405,8,104,110,124
12,378,8,104,110,107
13,3181,8,102,50,165
14,48,8,90,110,160
15,1551,8,84,100,148
16,1585,8,80,40,76
17,340,8,78,190,77
18,3799,8,74,80,83
19,2809,8,72,70,198
20,2228,6,102,60,117
21,1559,6,98,50,115
22,1155,6,84,70,107
23,1765,6,80,60,111
24,176,6,74,100,212
25,1591,6,74,50,38
26,639,6,70,90,148
27,888,6,66,90,92
28,451,6,60,50,79
29,174,6,60,40,100
30,4071,6,56,90,54
31,772,6,54,40,85
32,1111,6,52,90,66
33,3687,6,48,150,80
34,2265,6,44,50,88
35,1126,6,18,80,111
36,3951,4,96,80,71
37,4093,4,84,80,89
38,1511,4,78,60,124
39,3842,4,76,140,87
40,578,4,72,30,93
41,156,4,68,70,44
42,2340,4,60,80,77
43,4508,4,58,130,36
44,4505,4,52,80,27
45,1518,2,78,90,8
46,3157,2,52,80,82
47,73,2,42,80,59
48,4023,2,30,10,88
49,907,0,32,60,41
